"Restaurants_name","Restaurants_url","Restaurants_Adress","Restaurants_Consumption","Restaurants_Favorites"
"初見 Shoken","https://www.openrice.com/zh/hongkong/r-%E5%88%9D%E8%A6%8B-%E8%8D%83%E7%81%A3-%E6%97%A5%E6%9C%AC%E8%8F%9C-%E7%81%AB%E9%8D%8B-r554516/hotpot","荃灣海壩街22號華達樓地下F號舖","$51-100","7.6K"
"尚鮮火鍋海鮮料理 Seansin Seafood Hotpot Experts","https://www.openrice.com/zh/hongkong/r-%E5%B0%9A%E9%AE%AE%E7%81%AB%E9%8D%8B%E6%B5%B7%E9%AE%AE%E6%96%99%E7%90%86-%E9%8A%85%E9%91%BC%E7%81%A3-%E6%B8%AF%E5%BC%8F-%E7%81%AB%E9%8D%8B-r458319/hotpot","銅鑼灣耀華街3號百樂中心8樓","$201-400","9.9K"
"漁火海鮮刺身火鍋","https://www.openrice.com/zh/hongkong/r-%E6%BC%81%E7%81%AB%E6%B5%B7%E9%AE%AE%E5%88%BA%E8%BA%AB%E7%81%AB%E9%8D%8B-%E9%8A%85%E9%91%BC%E7%81%A3-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E7%81%AB%E9%8D%8B-r513292/hotpot","銅鑼灣駱克道491-499號京都廣場8樓","$201-400","10.6K"
"陸陸雞煲火鍋 66 Hot Pot","https://www.openrice.com/zh/hongkong/r-%E9%99%B8%E9%99%B8%E9%9B%9E%E7%85%B2%E7%81%AB%E9%8D%8B-%E6%97%BA%E8%A7%92-%E6%B8%AF%E5%BC%8F-%E9%9B%9E%E7%85%B2-r174182/hotpot","旺角白布街16號","$201-400","11K"
"米走雞Live Running Chicken Live","https://www.openrice.com/zh/hongkong/r-%E7%B1%B3%E8%B5%B0%E9%9B%9Elive-%E8%A7%80%E5%A1%98-%E6%B8%AF%E5%BC%8F-%E9%9B%9E%E7%85%B2-r529029/hotpot","觀塘興業街4號The Wave 3樓","$101-200","16.7K"
"酒鍋 The Drunken Pot","https://www.openrice.com/zh/hongkong/r-%E9%85%92%E9%8D%8B-%E9%8A%85%E9%91%BC%E7%81%A3-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E7%81%AB%E9%8D%8B-r512243/hotpot","銅鑼灣登龍街18號V Point 27樓","$201-400","16.2K"
"吞POT 雞煲火鍋.住家菜 Lazy Pot","https://www.openrice.com/zh/hongkong/r-%E5%90%9Epot-%E9%9B%9E%E7%85%B2%E7%81%AB%E9%8D%8B-%E4%BD%8F%E5%AE%B6%E8%8F%9C-%E6%97%BA%E8%A7%92-%E6%B8%AF%E5%BC%8F-%E9%9B%9E%E7%85%B2-r543959/hotpot","旺角彌敦道560號譽發廣場22樓","$101-200","8K"
"火水爐冰室火鍋 Fo Shui Lo","https://www.openrice.com/zh/hongkong/r-%E7%81%AB%E6%B0%B4%E7%88%90%E5%86%B0%E5%AE%A4%E7%81%AB%E9%8D%8B-%E6%97%BA%E8%A7%92-%E6%B8%AF%E5%BC%8F-%E7%81%AB%E9%8D%8B-r544211/hotpot","旺角煙廠街33號朗廷軒1樓","$101-200","13.8K"
"小漁港海鮮舫 鮮蒸‧鮮味火鍋 Seafood Port Restaurant","https://www.openrice.com/zh/hongkong/r-%E5%B0%8F%E6%BC%81%E6%B8%AF%E6%B5%B7%E9%AE%AE%E8%88%AB-%E9%AE%AE%E8%92%B8-%E9%AE%AE%E5%91%B3%E7%81%AB%E9%8D%8B-%E5%A4%AA%E5%AD%90-%E6%B8%AF%E5%BC%8F-%E7%81%AB%E9%8D%8B-r499140/hotpot","太子荔枝角道127-133號地下","$201-400","17.7K"
"尚鮮火鍋海鮮料理 Seansin Seafood Hotpot Experts","https://www.openrice.com/zh/hongkong/r-%E5%B0%9A%E9%AE%AE%E7%81%AB%E9%8D%8B%E6%B5%B7%E9%AE%AE%E6%96%99%E7%90%86-%E4%BD%90%E6%95%A6-%E6%B8%AF%E5%BC%8F-%E7%81%AB%E9%8D%8B-r125734/hotpot","佐敦吳松街62-64 幸福商業大廈1樓","$201-400","6.7K"
"渝味曉宇重慶老火鍋 Xiao Yu Hotpot Restaurant","https://www.openrice.com/zh/hongkong/r-%E6%B8%9D%E5%91%B3%E6%9B%89%E5%AE%87%E9%87%8D%E6%85%B6%E8%80%81%E7%81%AB%E9%8D%8B-%E5%B0%96%E6%B2%99%E5%92%80-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E7%81%AB%E9%8D%8B-r518931/hotpot","尖沙咀北京道12A號太子集團中心19樓","$201-400","11.5K"
"酒鍋 The Drunken Pot","https://www.openrice.com/zh/hongkong/r-%E9%85%92%E9%8D%8B-%E5%B0%96%E6%B2%99%E5%92%80-%E7%B2%B5%E8%8F%9C-%E5%BB%A3%E6%9D%B1-%E7%81%AB%E9%8D%8B-r480773/hotpot","尖沙咀天文台道8號2樓1號舖","$201-400","25.2K"
"烏蠅館 The Fly Place","https://www.openrice.com/zh/hongkong/r-%E7%83%8F%E8%A0%85%E9%A4%A8-%E5%B0%96%E6%B2%99%E5%92%80-%E5%B7%9D%E8%8F%9C-%E5%9B%9B%E5%B7%9D-%E7%81%AB%E9%8D%8B-r568934/hotpot","尖沙咀亞士厘道38號天星大廈1樓B舖","$201-400","7.6K"
